Iteration #, Size of Array, Size of Tiles, Time (Seconds), Error
4, 2000, 49, 30.83000, 0.0000000000
4, 2000, 50, 30.82000, 0.0000000000
4, 2000, 51, 30.83000, 0.0000000000
4, 2000, 52, 30.85000, 0.0000000000
4, 2000, 53, 30.82000, 0.0000000000
4, 2000, 54, 30.85000, 0.0000000000
4, 2000, 55, 30.82000, 0.0000000000
4, 2000, 56, 30.80000, 0.0000000000
4, 2000, 57, 30.83000, 0.0000000000
4, 2000, 58, 30.97000, 0.0000000000
4, 2000, 59, 30.90000, 0.0000000000
4, 2000, 60, 30.92000, 0.0000000000
4, 2000, 61, 30.90000, 0.0000000000
4, 2000, 62, 30.91000, 0.0000000000
4, 2000, 63, 30.88000, 0.0000000000
4, 2000, 64, 30.78000, 0.0000000000
5, 2500, 16, 63.08000, 0.0000000000
5, 2500, 17, 62.74000, 0.0000000000
5, 2500, 18, 62.93000, 0.0000000000
5, 2500, 19, 65.98000, 0.0000000000
5, 2500, 20, 62.60000, 0.0000000000
5, 2500, 21, 62.22000, 0.0000000000
5, 2500, 22, 62.03000, 0.0000000000
5, 2500, 23, 61.83000, 0.0000000000
5, 2500, 24, 61.93000, 0.0000000000
5, 2500, 25, 61.49000, 0.0000000000
5, 2500, 26, 61.31000, 0.0000000000
5, 2500, 27, 61.15000, 0.0000000000
5, 2500, 28, 61.31000, 0.0000000000
5, 2500, 29, 60.94000, 0.0000000000
5, 2500, 30, 61.02000, 0.0000000000
5, 2500, 31, 60.82000, 0.0000000000
5, 2500, 32, 61.02000, 0.0000000000
5, 2500, 33, 63.34000, 0.0000000000
5, 2500, 34, 60.64000, 0.0000000000
5, 2500, 35, 60.45000, 0.0000000000
5, 2500, 36, 60.52000, 0.0000000000
5, 2500, 37, 60.26000, 0.0000000000
5, 2500, 38, 62.41000, 0.0000000000
5, 2500, 39, 60.16000, 0.0000000000
5, 2500, 40, 62.29000, 0.0000000000
5, 2500, 41, 60.21000, 0.0000000000
5, 2500, 42, 62.07000, 0.0000000000
5, 2500, 43, 60.15000, 0.0000000000
5, 2500, 44, 60.16000, 0.0000000000
5, 2500, 45, 60.06000, 0.0000000000
5, 2500, 46, 60.11000, 0.0000000000
5, 2500, 47, 60.09000, 0.0000000000
5, 2500, 48, 60.30000, 0.0000000000
5, 2500, 49, 60.25000, 0.0000000000
5, 2500, 50, 60.23000, 0.0000000000
5, 2500, 51, 60.18000, 0.0000000000
5, 2500, 52, 60.25000, 0.0000000000
5, 2500, 53, 60.19000, 0.0000000000
5, 2500, 54, 60.20000, 0.0000000000
5, 2500, 55, 60.21000, 0.0000000000
5, 2500, 56, 60.29000, 0.0000000000
5, 2500, 57, 60.25000, 0.0000000000
5, 2500, 58, 60.29000, 0.0000000000
5, 2500, 59, 60.17000, 0.0000000000
5, 2500, 60, 60.12000, 0.0000000000
5, 2500, 61, 60.05000, 0.0000000000
5, 2500, 62, 60.10000, 0.0000000000
5, 2500, 63, 60.11000, 0.0000000000
5, 2500, 64, 60.16000, 0.0000000000
