Iteration #, Size of Array, Size of Tiles, Time (Seconds)
2, 1000, 69, 3.82
2, 1000, 70, 3.82
2, 1000, 71, 3.83
2, 1000, 72, 3.82
2, 1000, 73, 3.83
2, 1000, 74, 3.84
2, 1000, 75, 3.89
2, 1000, 76, 3.92
2, 1000, 77, 3.89
2, 1000, 78, 3.90
2, 1000, 79, 3.89
2, 1000, 80, 3.89
2, 1000, 81, 3.92
2, 1000, 82, 3.89
2, 1000, 83, 3.90
2, 1000, 84, 3.90
2, 1000, 85, 3.89
2, 1000, 86, 3.91
2, 1000, 87, 3.91
2, 1000, 88, 3.89
2, 1000, 89, 3.89
2, 1000, 90, 3.84
2, 1000, 91, 3.84
2, 1000, 92, 3.87
2, 1000, 93, 3.85
2, 1000, 94, 3.84
2, 1000, 95, 3.90
2, 1000, 96, 3.88
2, 1000, 97, 3.89
2, 1000, 98, 3.91
2, 1000, 99, 3.90
2, 1000, 100, 3.90
2, 1000, 101, 3.91
2, 1000, 102, 3.92
2, 1000, 103, 3.91
2, 1000, 104, 3.92
2, 1000, 105, 3.92
2, 1000, 106, 3.93
2, 1000, 107, 3.94
2, 1000, 108, 3.96
2, 1000, 109, 3.94
2, 1000, 110, 3.93
2, 1000, 111, 3.93
2, 1000, 112, 3.95
2, 1000, 113, 3.97
2, 1000, 114, 3.95
2, 1000, 115, 3.93
2, 1000, 116, 3.93
2, 1000, 117, 3.95
2, 1000, 118, 3.96
2, 1000, 119, 3.96
2, 1000, 120, 3.94
2, 1000, 121, 3.93
2, 1000, 122, 3.94
2, 1000, 123, 3.93
2, 1000, 124, 3.93
2, 1000, 125, 3.96
2, 1000, 126, 3.94
2, 1000, 127, 3.96
2, 1000, 128, 3.95
2, 1000, 129, 3.98
2, 1000, 130, 3.96
2, 1000, 131, 3.93
2, 1000, 132, 3.95
2, 1000, 133, 3.94
2, 1000, 134, 3.98
2, 1000, 135, 3.96
2, 1000, 136, 3.92
2, 1000, 137, 3.95
2, 1000, 138, 3.94
2, 1000, 139, 3.98
2, 1000, 140, 3.97
2, 1000, 141, 3.93
2, 1000, 142, 3.94
2, 1000, 143, 3.94
